"bar_id","B","H","start_node","x1","y1","z1","end_node","x2","y2","z2"
"2012","0.25","0.5","671","46.43175052","24.86256538","6","673","50.831","21.519","6"
"2007","0.3","0.5","2002","46.11795198","22.62950097","6","671","46.43175052","24.86256538","6"
"2008","0.3","0.5","671","46.43175052","24.86256538","6","2003","46.78274959","27.34048089","6"
"32","0.4","0.5","2035","16.62","35.662","6","23257","17.199","36.377","6"
"47","0.4","0.5","23257","17.199","36.377","6","23549","18.0378644","37.16634976","6"
"95","0.4","0.5","128","19.73607712","34.35166593","6","2218","20.073","34.708","6"
"98","0.3","0.6","2099","20.705","39.14","6","51","22.94454417","36.67555404","6"
"178","0.4","0.5","51","22.94454417","36.67555404","6","2221","23.923","37.11","6"
"100508","0.3","0.6","23255","8.789","42.999","6","23253","12.556","40.035","6"
"100509","0.3","0.6","23253","12.556","40.035","6","23257","17.199","36.377","6"
"100511","0.3","0.6","23260","11.508","46.449","6","23150","16.035","42.82","6"
"100512","0.3","0.6","23150","16.035","42.82","6","2099","20.705","39.14","6"
"100514","0.3","0.6","23261","14.32","50.02","6","23259","18.087","47.056","6"
"100515","0.3","0.6","23259","18.087","47.056","6","23251","22.014","43.962","6"
"100516","0.3","0.6","23251","22.014","43.962","6","2064","25.939","40.867","6"
"100517","0.3","0.6","23254","18.839","55.755","6","23258","22.603","52.79","6"
"100518","0.3","0.6","23258","22.603","52.79","6","23256","26.53","49.696","6"
"100519","0.3","0.6","23256","26.53","49.696","6","23252","30.457","46.602","6"
"100520","0.4","0.7","2122","29.56150841","45.46659966","6","23252","30.457","46.602","6"
"100521","0.3","0.5","23255","8.789","42.999","6","23260","11.508","46.449","6"
"100522","0.3","0.5","23260","11.508","46.449","6","23261","14.32","50.02","6"
"100523","0.3","0.6","23261","14.32","50.02","6","23254","18.839","55.755","6"
"100526","0.3","0.5","23253","12.556","40.035","6","23150","16.035","42.82","6"
"100527","0.3","0.5","23150","16.035","42.82","6","23259","18.087","47.056","6"
"100528","0.3","0.6","23259","18.087","47.056","6","23258","22.603","52.79","6"
"100529","0.3","0.6","23251","22.014","43.962","6","23256","26.53","49.696","6"
"100530","0.3","0.5","23150","16.035","42.82","6","23251","22.014","43.962","6"
"288","0.3","0.5","23321","7.13005654","55.68545395","6","3277","8.7622326","57.58427809","6"
"372","0.3","0.6","2238","6.4698592","32.9885657","6","23466","7.01284216","32.56074538","6"
"289","0.3","0.5","3277","8.7622326","57.58427809","6","23322","11.89398098","61.22765922","6"
"300","0.25","0.4","59","6.05985372","50.74215708","6","23546","4.16464695","52.23558622","6"
"297","0.25","0.5","1087","5.53944129","45.55931723","6","3281","8.25909766","49.00914566","6"
"171","0.3","0.5","23314","0.14586826","51.46126938","6","23318","2.26944017","53.72901535","6"
"188","0.3","0.5","23318","2.26944017","53.72901535","6","23317","5.38737679","57.0586319","6"
"194","0.3","0.5","23317","5.38737679","57.0586319","6","23580","7.10345793","58.89122009","6"
"196","0.3","0.5","23310","2.10280037","45.71985626","6","23316","3.34103944","47.29143123","6"
