bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2188	2178	36.32189115	40.14108578	6	2175	38.30399822	42.65400141	6	3.20054579727306	2F
2189	2175	38.30399822	42.65400141	6	2050	40.152	44.997	6	2.9840832715635	2F
2190	2179	82.552	5.957	6	2180	87.128	5.957	6	4.57599999999999	2F
2191	2181	82.552	4.175	6	2182	87.128	4.175	6	4.57599999999999	2F
2192	2183	82.552	2.392	6	2184	87.128	2.392	6	4.57599999999999	2F
2193	2042	87.127	7.994	6	2180	87.128	5.957	6	2.03700024545899	2F
2194	2180	87.128	5.957	6	2182	87.128	4.175	6	1.782	2F
2195	2182	87.128	4.175	6	2184	87.128	2.392	6	1.783	2F
2196	2184	87.128	2.392	6	2049	87.128	-0.01	6	2.402	2F
2197	2185	28.417	37.739	6	2186	30.295	37.439	6	1.90181071613344	2F
2198	2122	29.56150841	45.46659966	6	2187	31.678	43.8	6	2.6938988617342	2F
2199	2187	31.678	43.8	6	2188	33.916	42.036	6	2.84962102743506	2F
2200	2064	25.939	40.867	6	2189	28.054	39.202	6	2.69173735717287	2F
2201	2189	28.054	39.202	6	2186	30.295	37.439	6	2.85135932495363	2F
2202	2189	28.054	39.202	6	2187	31.678	43.8	6	5.8544837517923	2F
2203	2186	30.295	37.439	6	2188	33.916	42.036	6	5.85184159047389	2F
2359	2019	58.882	20.699	6	2262	62.4175	17.915	6	4.50004624976233	2F
2360	2263	55.347	23.483	6	2019	58.882	20.699	6	4.49965343109889	2F
2361	2107	47.844	29.39	6	2021	51.811	26.266	6	5.04940243989326	2F
2204	2201	33.392	16.216	6	2126	34.53554686	19.61074825	6	3.58218021627806	2F
2362	2021	51.811	26.266	6	2263	55.347	23.483	6	4.4998205519776	2F
2363	2262	62.4175	17.915	6	2017	65.953	15.131	6	4.50004624976233	2F
2364	2018	70.593	21.023	6	2264	74.12774219	18.24041537	6	4.49857528256205	2F
2205	2078	16.033	6.474	6	2155	19.062	6.474	6	3.029	2F
2206	2155	19.062	6.474	6	2082	22.091	6.474	6	3.029	2F
2365	2264	74.12774219	18.24041537	6	2120	77.65994102	15.4574236	6	4.49682907908907	2F
2366	2265	59.98727234	29.37478552	6	2020	63.522	26.591	6	4.49930677457436	2F
2207	2014	70.332	6.468	6	2190	74.12198463	8.69901444	6	4.39788687066012	2F
2208	2190	74.12198463	8.69901444	6	2123	76.862	10.312	6	3.17952931180148	2F
